building_type,square_footage,number_of_occupants,appliances_used,average_temperature,day_of_week,energy_consumption
commercial,45238,72,47,20.95,weekday,5867.13
commercial,5584,21,9,29.51,weekend,2521.63
commercial,46697,70,7,25.71,weekday,5096.3
residential,47804,99,38,31.79,weekend,5481.27
residential,23696,85,29,11.31,weekend,4058.25
commercial,46219,49,41,29.52,weekend,5473.33
industrial,42273,99,36,21.27,weekend,6217.3
industrial,48017,1,8,32.46,weekday,4958.57
industrial,16396,79,49,10.39,weekend,5037.86
industrial,39841,47,7,25.25,weekday,5025.81
residential,21109,78,36,10.33,weekend,4003.79
commercial,4518,85,27,15.09,weekend,3540.45
residential,25838,75,27,24.06,weekday,4011.58
residential,36423,89,29,18.3,weekday,4749.64
industrial,27223,86,44,30.86,weekend,5446.83
industrial,31963,69,5,10.24,weekday,4886.94
commercial,41860,28,34,23.64,weekend,4934.8
commercial,47100,5,1,10.13,weekend,4374.33
commercial,5148,72,18,26.98,weekend,3202.5
industrial,23519,55,45,14.99,weekday,5101.01
residential,1620,72,23,20.14,weekend,2660.28
residential,2579,32,49,12.3,weekend,2867.44
industrial,42374,36,28,29.67,weekend,5390.35
residential,42740,60,22,15.42,weekday,4649.88
industrial,43908,1,28,19.15,weekday,5219.66
residential,40787,35,4,13.99,weekday,3949.4
residential,39530,59,25,23.69,weekday,4498.07
residential,10895,18,26,34.47,weekday,2622.38
commercial,33562,61,41,34.63,weekend,4934.94
residential,26321,89,43,13.9,weekend,4496.55
commercial,41901,23,26,33.56,weekend,4677.23
commercial,13213,79,30,26.73,weekend,3916.99
residential,22230,16,25,29.13,weekend,3125.85
residential,29102,31,41,32.35,weekday,3973.35
residential,29692,13,45,26.11,weekend,3884.07
residential,48979,61,1,24.54,weekday,4506.27
commercial,36955,71,27,28.08,weekend,4957.36
residential,13724,13,4,20.76,weekday,2342.38
commercial,39209,67,24,21.48,weekend,5003.05
industrial,34677,55,29,18.34,weekend,5272.15
residential,29509,64,47,14.73,weekend,4481.81
residential,47233,66,8,10.16,weekday,4680.87
residential,38500,42,49,25.31,weekend,4698.47
commercial,19756,61,47,33.38,weekend,4370.89
residential,31159,35,42,17.84,weekday,4208.74
commercial,17675,48,36,19.41,weekday,4036.68
commercial,20123,13,19,24.92,weekday,3441.55
residential,25361,77,26,24.09,weekend,3937.59
residential,49256,82,35,30.7,weekend,5329.29
residential,35339,85,27,32.39,weekend,4494.99
commercial,12153,75,23,16.83,weekend,3733.52
industrial,39698,85,36,17.99,weekday,6014.94
industrial,18833,30,25,22.66,weekday,4178.36
residential,21081,5,25,26.29,weekend,2972.61
industrial,15061,43,21,26.86,weekday,4018.77
industrial,41631,13,6,29.32,weekend,4684.93
industrial,19529,85,19,28.85,weekday,4612.22
residential,33539,21,15,28.71,weekday,3593.42
residential,28196,74,19,24.55,weekend,3907.03
commercial,3420,61,49,12.65,weekend,3697.77
commercial,2982,15,13,11.71,weekend,2500.56
commercial,18881,54,6,19.05,weekday,3558.78
commercial,32623,65,29,27.67,weekday,4772.8
commercial,47214,48,20,22.94,weekend,5126.0
commercial,27237,39,41,15.33,weekend,4495.21
commercial,27288,32,42,11.26,weekday,4518.12
residential,30257,72,10,33.34,weekday,3816.15
commercial,49653,89,37,26.33,weekend,5980.98
industrial,26349,88,46,10.79,weekend,5563.48
residential,37629,17,14,21.58,weekend,3723.56
commercial,41696,98,43,33.1,weekday,5809.3
industrial,14098,16,45,19.1,weekend,4169.39
commercial,37435,26,35,21.64,weekday,4773.54
commercial,8470,50,46,26.35,weekday,3761.75
residential,25019,19,35,28.29,weekday,3549.48
industrial,16501,63,45,10.2,weekday,4854.04
residential,13909,62,21,18.76,weekend,3141.67
residential,802,17,40,20.5,weekday,2457.6
industrial,18523,79,45,22.39,weekday,5054.19
industrial,10003,3,47,10.74,weekend,3916.46
industrial,32684,99,38,34.99,weekend,5709.26
industrial,46039,41,36,31.89,weekday,5822.52
commercial,22063,92,8,33.62,weekend,4015.07
commercial,20008,99,41,11.55,weekend,4752.66
commercial,20433,78,30,29.41,weekend,4254.59
industrial,40474,82,6,21.1,weekend,5358.22
commercial,42787,40,48,23.38,weekend,5382.43
residential,35696,70,47,10.4,weekday,4922.82
industrial,20837,1,13,26.45,weekday,3729.59
residential,43259,33,41,30.12,weekday,4712.33
residential,14112,3,17,21.0,weekend,2470.59
industrial,26022,24,21,29.31,weekend,4314.56
commercial,26119,34,27,29.2,weekend,4039.93
residential,40248,68,20,30.71,weekday,4488.84
commercial,24395,60,5,15.03,weekend,3844.62
industrial,13880,28,19,24.15,weekend,3733.24
residential,39163,12,44,10.73,weekday,4454.51
commercial,4472,15,34,21.32,weekday,2996.99
industrial,20316,69,29,11.85,weekday,4776.54
residential,38067,14,23,26.61,weekend,3870.32
commercial,7138,60,27,34.94,weekday,3372.2
commercial,25417,49,49,22.92,weekday,4676.25
commercial,7040,4,20,22.82,weekday,2727.89
industrial,7679,58,32,28.94,weekday,4009.27
industrial,5257,74,12,12.58,weekend,3679.96
industrial,6868,36,6,14.81,weekend,3249.36
commercial,18940,44,33,23.53,weekday,3979.37
industrial,22427,8,13,26.21,weekday,3880.32
commercial,36744,71,40,30.41,weekend,5195.15
commercial,35411,67,23,30.46,weekday,4798.25
residential,43701,7,12,18.49,weekday,3952.58
residential,44827,94,34,27.86,weekday,5272.05
residential,18405,38,24,19.24,weekday,3234.06
commercial,15523,52,1,27.67,weekend,3177.82
commercial,46000,39,41,33.57,weekend,5342.17
industrial,3520,59,13,21.37,weekend,3419.14
residential,29926,32,43,27.22,weekday,4090.2
residential,15359,36,13,19.89,weekend,2788.49
commercial,39782,84,26,16.19,weekend,5268.16
residential,6871,26,19,33.73,weekday,2364.9
residential,29234,39,17,34.43,weekend,3519.56
industrial,28435,9,22,21.98,weekday,4391.84
commercial,38373,1,27,20.26,weekday,4417.34
industrial,16208,73,40,15.37,weekend,4763.57
industrial,13781,99,29,12.46,weekend,4696.73
industrial,14635,19,27,12.28,weekend,3900.33
industrial,26463,57,21,31.59,weekend,4655.22
industrial,37938,98,17,11.14,weekday,5711.22
commercial,35546,52,4,26.35,weekend,4245.53
industrial,11289,11,26,18.42,weekend,3602.33
commercial,48788,53,11,31.31,weekend,5032.83
residential,5945,16,23,34.38,weekday,2295.33
residential,38109,62,39,15.16,weekend,4729.67
residential,17225,6,9,30.23,weekday,2500.08
commercial,49270,28,38,23.08,weekday,5438.11
residential,43020,32,34,11.75,weekday,4642.27
residential,49638,29,15,20.88,weekday,4517.48
commercial,27130,7,34,14.73,weekend,4032.83
commercial,11583,48,17,23.29,weekday,3332.69
residential,46663,15,28,11.5,weekday,4535.64
industrial,1779,84,14,31.84,weekday,3599.73
industrial,18588,7,17,19.39,weekday,3792.47
commercial,22680,62,21,16.37,weekend,4092.14
commercial,37698,4,21,11.07,weekday,4339.55
commercial,37648,60,18,21.25,weekend,4736.14
industrial,27990,85,31,23.93,weekend,5249.84
industrial,49768,51,22,34.91,weekend,5763.85
residential,22227,56,49,12.86,weekend,4087.05
residential,15898,83,20,29.5,weekend,3377.38
residential,8406,25,36,19.48,weekday,2842.91
industrial,23779,92,6,18.96,weekday,4684.16
industrial,2550,97,45,34.58,weekday,4374.59
industrial,47719,92,7,32.82,weekend,5781.83
commercial,36112,17,42,28.54,weekday,4722.9
industrial,20456,50,6,33.53,weekend,3975.14
industrial,46265,68,38,18.13,weekday,6212.59
residential,46526,14,20,27.93,weekday,4276.66
residential,2262,36,49,16.09,weekend,2872.63
industrial,10681,71,47,19.75,weekday,4635.28
residential,49438,93,17,13.31,weekday,5225.35
commercial,1935,96,28,30.73,weekend,3463.09
commercial,12036,61,47,26.75,weekend,4018.05
residential,12612,65,5,28.73,weekday,2786.93
residential,28288,52,19,31.72,weekend,3655.82
commercial,12055,52,28,19.62,weekday,3634.65
industrial,38758,7,41,10.05,weekday,5327.65
industrial,32380,1,21,19.77,weekday,4500.16
residential,26392,13,9,12.69,weekend,3066.15
industrial,47956,8,22,34.4,weekend,5245.78
commercial,45580,26,1,29.63,weekday,4460.84
residential,6276,75,36,33.11,weekend,3118.23
commercial,36340,33,20,16.2,weekday,4516.02
industrial,49270,19,39,11.26,weekend,5877.19
commercial,31790,46,31,27.09,weekend,4534.07
industrial,33820,56,8,21.32,weekday,4854.4
residential,3073,33,17,17.03,weekday,2288.52
residential,38743,65,23,10.2,weekday,4546.15
residential,14494,2,9,32.68,weekday,2311.29
commercial,12418,73,13,17.02,weekend,3525.79
commercial,10024,54,40,10.49,weekday,3838.73
residential,24070,2,49,24.59,weekend,3580.56
residential,47690,39,11,33.49,weekday,4377.04
industrial,17014,91,8,26.94,weekday,4336.02
industrial,26515,45,25,33.47,weekday,4658.38
industrial,14359,69,40,19.94,weekday,4658.27
residential,9320,40,44,21.16,weekend,3140.2
commercial,26517,64,29,15.46,weekend,4468.57
industrial,34223,98,6,29.74,weekday,5212.46
commercial,39025,86,10,22.42,weekday,4949.14
residential,5203,86,14,20.59,weekend,2797.21
commercial,29986,93,9,19.04,weekend,4514.09
commercial,25650,21,28,25.14,weekday,3976.81
residential,26623,37,11,23.25,weekend,3304.91
industrial,47117,83,45,11.05,weekend,6530.6
industrial,21616,26,48,32.4,weekday,4688.81
residential,32360,40,13,29.55,weekend,3630.24
residential,11925,76,9,23.05,weekend,2921.01
residential,34162,48,26,33.54,weekday,4090.41
commercial,2469,92,41,13.26,weekend,3797.14
residential,7222,44,39,34.91,weekend,2906.57
residential,30720,3,15,10.22,weekend,3314.91
residential,28673,31,15,11.19,weekend,3487.69
commercial,16809,49,26,16.35,weekday,3818.71
commercial,33281,6,26,17.8,weekday,4205.07
industrial,25438,21,16,23.73,weekday,4233.24
residential,48138,85,22,19.9,weekday,5147.4
industrial,36446,92,43,16.56,weekday,6069.51
residential,48408,2,15,27.49,weekend,4102.94
industrial,28970,23,49,21.63,weekend,5050.37
residential,45133,39,39,13.3,weekday,4910.15
industrial,31311,60,27,17.31,weekday,5168.99
residential,45528,32,32,28.7,weekend,4592.9
industrial,30475,92,3,13.61,weekend,4935.7
commercial,32919,92,8,27.03,weekday,4640.78
industrial,32205,21,17,15.18,weekday,4634.34
commercial,41100,8,49,20.38,weekday,5063.09
commercial,25503,95,9,17.83,weekday,4366.0
residential,36685,63,12,22.54,weekend,4091.56
residential,8313,4,43,23.99,weekday,2745.7
industrial,12675,2,47,11.93,weekend,4034.11
commercial,16871,93,38,33.96,weekday,4413.74
commercial,2639,21,25,22.54,weekday,2779.25
industrial,47795,9,15,34.61,weekday,5156.72
commercial,10150,31,15,33.79,weekday,2998.57
industrial,3541,80,7,29.86,weekend,3467.74
commercial,27160,10,19,21.96,weekday,3778.19
industrial,26655,70,48,17.14,weekend,5407.04
commercial,41624,87,20,32.78,weekday,5237.3
industrial,23616,86,33,18.76,weekend,5107.0
industrial,48864,68,11,29.85,weekend,5693.96
residential,11883,54,48,14.77,weekday,3570.31
commercial,24527,30,11,18.62,weekend,3653.25
commercial,37811,25,22,19.14,weekday,4534.85
residential,20041,80,49,22.83,weekday,4217.88
residential,9610,66,1,20.77,weekend,2556.63
industrial,42346,20,37,33.31,weekend,5390.76
commercial,15548,98,45,18.19,weekday,4616.46
industrial,11882,17,2,31.5,weekend,3146.62
residential,38658,55,45,23.86,weekday,4813.61
commercial,3219,27,13,17.65,weekend,2602.69
industrial,37266,88,31,21.87,weekend,5753.93
industrial,37301,38,35,20.22,weekday,5393.95
residential,23893,18,37,31.43,weekday,3507.49
industrial,49981,2,18,27.43,weekend,5241.89
residential,14075,72,27,15.1,weekend,3388.25
industrial,43323,15,4,33.67,weekend,4727.81
residential,27116,51,16,22.81,weekend,3571.76
industrial,45584,52,11,20.78,weekend,5415.31
commercial,16350,14,38,18.39,weekday,3675.54
residential,32383,88,47,28.41,weekday,4847.12
industrial,10677,97,12,14.15,weekend,4173.1
residential,6204,63,35,17.94,weekday,3100.51
commercial,46667,39,1,30.88,weekday,4638.97
commercial,24363,10,35,25.87,weekday,3938.82
commercial,35201,67,9,21.08,weekend,4504.67
industrial,23034,29,14,33.52,weekday,4104.1
commercial,781,4,34,22.51,weekday,2696.49
residential,31023,97,23,20.52,weekend,4378.55
industrial,32466,29,26,15.49,weekday,4905.84
residential,18809,12,27,29.52,weekday,3002.83
residential,18264,49,34,22.35,weekend,3471.43
commercial,25360,34,26,14.98,weekday,4103.09
commercial,15163,11,40,11.06,weekend,3612.86
residential,33481,90,26,23.91,weekday,4524.49
commercial,44741,78,12,32.66,weekday,5143.73
industrial,2698,22,37,19.58,weekend,3496.99
residential,45069,37,17,20.4,weekend,4361.43
commercial,37179,82,22,14.12,weekend,5048.34
industrial,46663,55,1,22.99,weekday,5338.19
residential,42344,5,30,32.29,weekday,4155.74
commercial,33687,90,14,13.13,weekend,4798.68
commercial,30948,96,37,20.06,weekend,5147.11
commercial,27338,37,49,33.14,weekday,4601.21
industrial,44986,5,41,29.42,weekend,5472.2
residential,34875,63,24,33.71,weekday,4235.19
industrial,3749,11,4,21.49,weekend,2769.99
industrial,1119,11,29,19.96,weekday,3196.17
residential,13176,2,47,11.58,weekend,3060.91
commercial,45423,22,2,16.32,weekend,4449.57
residential,7505,70,41,19.04,weekday,3350.06
residential,46903,30,3,27.65,weekday,4116.88
industrial,32784,10,11,19.06,weekend,4363.9
residential,4925,30,36,18.33,weekday,2724.62
industrial,49151,45,45,15.8,weekend,6228.54
industrial,10826,21,28,17.38,weekend,3724.42
commercial,40559,32,38,30.26,weekend,4956.67
industrial,44564,58,21,26.4,weekday,5646.19
residential,37614,11,12,14.63,weekend,3657.53
residential,9446,43,47,20.27,weekday,3290.94
residential,10722,79,40,25.83,weekend,3496.97
residential,30045,42,5,31.62,weekend,3364.13
industrial,41735,5,39,15.27,weekend,5340.39
commercial,20346,3,1,28.49,weekend,2924.87
residential,6395,10,32,22.76,weekday,2495.93
commercial,30587,70,36,15.27,weekend,4873.0
industrial,20522,88,42,31.58,weekend,5088.21
industrial,40387,31,37,20.24,weekday,5518.13
industrial,15751,9,13,29.07,weekday,3542.19
commercial,18158,46,3,21.1,weekday,3372.41
industrial,20194,60,45,22.82,weekend,4895.61
residential,8304,98,46,18.82,weekday,3771.12
residential,3724,16,10,26.17,weekend,1915.37
commercial,10382,63,31,13.89,weekend,3699.65
residential,29930,63,6,24.99,weekend,3621.53
commercial,42399,58,35,13.49,weekend,5332.5
residential,33630,96,32,32.11,weekend,4620.93
commercial,26931,31,11,25.59,weekday,3798.62
residential,4314,43,17,31.12,weekend,2330.09
residential,27185,92,8,13.46,weekday,3921.95
residential,23999,7,37,13.91,weekday,3490.41
residential,16835,19,7,33.47,weekday,2554.39
commercial,17587,72,4,14.08,weekday,3658.93
residential,12439,20,33,13.16,weekday,2966.16
residential,28132,49,9,20.74,weekday,3522.9
commercial,46889,54,28,17.07,weekend,5359.1
residential,49401,60,13,18.44,weekday,4787.86
residential,26059,16,19,28.69,weekday,3249.48
residential,5306,73,42,31.2,weekday,3229.31
industrial,15652,17,3,20.72,weekend,3408.98
residential,37880,72,28,16.73,weekday,4640.37
commercial,25553,96,25,30.45,weekday,4635.4
commercial,45741,21,33,28.63,weekday,5063.9
residential,35701,19,17,29.9,weekend,3665.55
residential,26789,57,4,16.0,weekday,3459.45
residential,34749,42,46,33.41,weekend,4410.42
industrial,8570,9,45,26.94,weekday,3833.81
industrial,31773,60,19,26.02,weekday,4988.57
residential,32654,74,48,29.06,weekend,4687.39
industrial,48417,86,23,18.9,weekend,6146.35
residential,44960,10,35,29.67,weekday,4449.66
residential,14047,50,46,29.34,weekday,3525.66
residential,26712,60,42,20.2,weekday,4224.59
commercial,11872,66,37,28.67,weekday,3900.25
industrial,11622,93,4,25.21,weekend,3965.05
residential,9577,90,49,17.05,weekend,3773.61
industrial,838,34,45,23.29,weekday,3715.45
commercial,10016,85,8,24.61,weekday,3437.74
residential,13487,39,32,30.67,weekday,3101.02
residential,15399,24,2,24.28,weekday,2478.55
commercial,16978,48,14,12.46,weekend,3546.62
commercial,11746,1,18,24.76,weekday,2883.5
residential,32913,21,8,13.77,weekday,3496.82
industrial,49582,63,37,32.14,weekend,6188.4
industrial,48802,85,9,14.35,weekday,5948.34
commercial,42152,47,21,27.7,weekend,4859.08
commercial,31980,2,33,30.43,weekend,4126.84
industrial,22304,74,29,11.39,weekend,4878.26
residential,49958,33,8,28.35,weekend,4346.16
commercial,5353,20,18,32.04,weekend,2667.44
industrial,44913,55,48,25.1,weekend,6130.17
commercial,27157,67,38,21.08,weekend,4682.44
commercial,15860,95,32,16.24,weekday,4351.81
industrial,9823,32,5,17.67,weekend,3322.79
residential,47324,30,32,25.49,weekend,4678.75
residential,48785,84,6,20.48,weekend,4796.83
commercial,16063,8,24,30.91,weekend,3208.59
commercial,10593,32,19,23.55,weekday,3161.9
industrial,37511,47,45,25.14,weekday,5669.86
commercial,32696,19,37,24.33,weekend,4443.15
commercial,25564,87,34,15.2,weekday,4802.21
residential,36624,74,30,30.45,weekend,4518.97
commercial,38284,36,8,12.75,weekend,4370.44
commercial,28904,3,3,32.11,weekday,3424.66
commercial,9700,20,35,27.42,weekday,3297.91
industrial,26899,36,45,25.43,weekend,4977.79
industrial,1422,44,24,16.79,weekday,3457.17
commercial,39065,94,38,16.96,weekend,5568.44
commercial,2328,69,16,12.36,weekday,3114.61
residential,27484,47,48,28.79,weekend,4160.27
residential,20415,35,5,31.08,weekend,2815.34
commercial,33620,98,5,12.47,weekday,4748.66
industrial,18102,21,35,31.59,weekday,4207.14
industrial,9708,70,24,31.32,weekend,4008.78
residential,16532,8,18,32.12,weekend,2605.98
industrial,34516,75,15,23.3,weekday,5209.3
commercial,36237,45,23,29.86,weekday,4622.54
residential,31061,94,17,11.66,weekend,4274.73
commercial,20991,83,29,31.85,weekend,4300.28
commercial,21306,21,35,27.24,weekday,3889.08
commercial,3889,21,40,27.75,weekday,3115.68
residential,11802,15,34,10.25,weekend,2868.84
residential,7509,30,18,10.51,weekday,2532.88
commercial,39350,77,11,12.22,weekday,4946.38
residential,44142,62,38,30.82,weekday,4983.0
commercial,29759,94,14,28.28,weekday,4616.56
industrial,21927,95,10,33.51,weekday,4628.8
residential,47564,23,44,25.48,weekend,4860.8
industrial,7145,67,37,21.23,weekday,4211.11
residential,17153,9,1,34.06,weekday,2347.37
commercial,12245,85,4,22.85,weekend,3428.02
industrial,42398,44,22,30.32,weekend,5348.31
commercial,8936,38,24,23.33,weekday,3240.14
commercial,21788,21,9,21.56,weekend,3371.6
commercial,20494,18,9,15.93,weekend,3305.06
industrial,20478,80,41,20.69,weekend,5040.46
residential,2470,65,46,20.94,weekday,3138.81
residential,1045,60,46,24.71,weekend,2948.69
industrial,29029,82,30,21.74,weekend,5262.76
commercial,5099,39,6,16.24,weekend,2683.73
commercial,36908,60,9,28.82,weekday,4531.32
industrial,30281,46,12,20.46,weekend,4611.73
residential,48775,54,27,17.78,weekday,4979.87
industrial,48337,69,44,15.67,weekday,6458.51
industrial,34893,86,28,16.18,weekday,5633.76
commercial,5280,49,26,30.56,weekend,3121.19
residential,15828,52,11,29.55,weekend,2883.63
residential,26212,35,1,23.3,weekend,3064.11
residential,14419,68,44,23.95,weekend,3661.21
industrial,12194,7,22,14.67,weekend,3546.34
commercial,39562,88,20,32.18,weekday,5147.21
residential,8348,67,37,16.48,weekend,3244.98
commercial,15813,57,11,31.4,weekend,3423.63
